bbl,bin,jobnum,year,units,counits,parktype
1000760006,1090416,121184253,2018,120.0,120,not required
1007790027,1090618,121184431,2017,95.0,95,not required
1011687503,1090385,121184440,2016,25.0,25,not required
1008417501,1090404,121184486,2017,57.0,279,not required
1010307501,1090184,121184592,2018,118.0,117,not required
1011050036,1090766,121184609,2017,65.0,65,not required
1005317505,1090586,121184645,2018,16.0,16,not required
1004250032,1090782,121184707,2020,8.0,8,not required
1008237507,1090231,121184734,2016,289.0,289,not required
1007010016,1089836,121184994,2017,179.0,179,not required
1012277501,1090527,121185163,2018,19.0,19,not required
1006997504,1090205,121185261,2019,36.0,36,not required
1004597503,1090232,121185289,2017,5.0,5,not required
1008197505,1015408,121185421,2017,53.0,43,not required
1004077504,1090264,121185500,2018,54.0,54,not required
1004077503,1090249,121185519,2017,106.0,106,not required
1002487501,1089771,121185528,2018,815.0,815,not required
1004437504,1006102,121185546,2017,6.0,6,not required
1009200013,1082154,121185555,2017,372.0,372,not required
1004900030,1089763,121185564,2017,1.0,1,not required
1004900029,1089764,121185573,2017,1.0,1,not required
1004900028,1089765,121185582,2017,1.0,1,not required
1004900027,1089766,121185591,2017,1.0,1,not required
1010817501,1090143,121185626,2017,392.0,392,not required
1007297502,1089664,121185760,2017,844.0,844,not required
1010240052,1090495,121185966,2018,426.0,426,not required
1001780029,1088692,121185975,2020,4.0,3,not required
1001780029,1088692,121185993,2020,6.0,5,not required
1013047502,1090524,121186028,2019,124.0,124,not required
1010550027,1090210,121186037,2017,7.0,7,not required
1007107501,1090727,121186171,2017,225.0,225,not required
1015517502,1089798,121186242,2017,82.0,84,not required
1011040031,1090190,121186386,2018,1028.0,1028,not required
1015167503,1090866,121186518,2019,47.0,47,not required
1005787501,1090610,121186563,2019,54.0,54,not required
1012270049,1090207,121186590,2018,72.0,72,not required
1002237502,1090656,121186812,2018,46.0,46,not required
1008340069,1015855,121186849,2018,223.0,223,not required
1006957511,1090213,121186858,2020,14.0,13,not required
1003467501,1089660,121186938,2017,211.0,211,not required
1006967503,1090212,121186983,2018,5.0,5,not required
1003477501,1089451,121187036,2017,100.0,100,not required
1004097502,1090581,121187045,2018,55.0,55,not required
1007647504,1090436,121187116,2018,21.0,21,not required
1013737508,1089538,121187125,2017,352.0,352,not required
1005707503,1009386,121187241,2019,51.0,51,not required
1002487501,1089772,121187410,2018,205.0,205,not required
1010727501,1090720,121187456,2019,123.0,123,not required
1007080020,1089736,121187483,2019,250.0,250,not required
1011697503,1090726,121187508,2017,26.0,26,not required
1003540001,1090736,121187642,2019,93.0,93,not required
1005147506,1090569,121189640,2018,6.0,6,not required
1003550054,1090485,121189711,2019,88.0,88,not required
1009450023,1089769,121189784,2018,556.0,556,not required
1012350007,1090817,121189855,2018,38.0,38,not required
1005210009,1008181,121190040,2020,61.0,58,not required
1015787504,1051137,121190120,2019,29.0,29,not required
1008787501,1018013,121190157,2018,141.0,141,not required
1001747506,1090477,121190166,2019,112.0,112,not required
1011147504,1090158,121190219,2019,172.0,172,not required
1013270019,1090702,121190451,2019,5.0,5,not required
1009017501,1090862,121190479,2019,67.0,66,not required
1000907504,1090475,121190610,2020,110.0,110,not required
1012287504,1089957,121190674,2019,28.0,29,not required
1014910014,1046433,121190852,2020,8.0,2,not required
1006960038,1090571,121190932,2020,8.0,8,not required
1008790025,1090807,121190969,2020,14.0,14,not required
1004597504,1006579,121191076,2020,5.0,5,not required
1003460175,1089891,121191110,2020,263.0,263,not required
1002050008,1090225,121191334,2019,23.0,23,not required
1003527501,1090554,121191646,2018,195.0,195,not required
1015407503,1090563,121191913,2018,104.0,104,not required
1010810050,1090139,121191968,2019,103.0,103,not required
1018617501,1090341,121192039,2017,14.0,14,not required
1015550001,1090538,121192155,2019,22.0,22,not required
1015557502,1090539,121192182,2018,6.0,6,not required
1004417504,1090211,121192342,2019,113.0,113,not required
1008417503,1090451,121192379,2019,62.0,62,not required
1008317502,1089969,121192413,2018,55.0,55,not required
1004400026,1090881,121192477,2020,6.0,6,not required
1004400029,1090882,121192486,2020,6.0,6,not required
1003767501,1090645,121192574,2018,110.0,110,not required
1007027503,1091590,121192618,2019,127.0,356,not required
1007007502,1090446,121192789,2018,19.0,19,not required
1009197502,1090414,121192869,2018,74.0,74,not required
1013327501,1090608,121192912,2019,68.0,68,not required
1011717512,1089741,121192976,2019,272.0,272,not required
1008610059,1090760,121193065,2018,70.0,70,not required
1015587501,1090440,121193074,2019,48.0,48,not required
1008597504,1090386,121193136,2019,129.0,129,not required
1011717513,1089723,121193181,2019,645.0,645,not required
1004777502,1089738,121193234,2019,111.0,111,not required
1005707505,1090822,121193378,2018,5.0,5,not required
1011710157,1089374,121193458,2019,214.0,214,not required
1005557501,1090229,121193476,2019,12.0,12,not required
1007710061,1014089,121193528,2019,3.0,3,not required
1003507503,1004245,121193591,2019,27.0,27,not required
1013730009,1088859,121203919,2020,341.0,341,not required
1005780071,1090671,121204026,2020,100.0,91,not required
1014137503,1089818,121234878,2016,15.0,15,not required
1009337501,1084666,121235289,2016,55.0,55,not required
1014977502,1090328,121235305,2017,14.0,14,not required
1005800011,1090545,121235822,2016,122.0,122,not required
1010517503,1089690,121236484,2018,45.0,45,not required
1009037504,1089843,121236625,2016,55.0,55,not required
1006050001,1089890,121237107,2017,32.0,32,not required
1013457502,1090147,121237474,2016,113.0,113,not required
1005957508,1089819,121323914,2016,13.0,13,not required
1005957509,1080177,121323941,2016,107.0,107,not required
1010777501,1087452,121324030,2015,56.0,56,not required
1010777501,1088852,121324049,2015,54.0,54,not required
1008597503,1090342,121324183,2015,18.0,18,not required
1011320021,1088863,121324398,2016,258.0,258,not required
1001070034,1090588,121324487,2019,6.0,6,not required
1011717510,1088870,121324717,2016,616.0,616,not required
1004610006,1090311,121325413,2015,55.0,55,not required
1009190059,1090415,121325501,2015,91.0,91,not required
1013437503,1085119,121325547,2016,57.0,57,not required
1006077503,1089806,121325967,2015,198.0,198,not required
1005047501,1088982,121326207,2016,25.0,25,not required
1003777504,1089731,121326252,2015,6.0,6,not required
1001957502,1090537,121326341,2018,9.0,9,not required
1004837503,1090398,121326494,2017,10.0,10,not required
1006917502,1090162,121326831,2015,35.0,35,not required
1006927502,1090199,121327162,2015,32.0,32,not required
1012690006,1090777,121327224,2019,180.0,180,not required
1006937502,1089871,121327331,2016,44.0,44,not required
1013187502,1090529,121327563,2016,6.0,239,not required
1010697501,1089722,121328116,2016,598.0,598,not required
1010297502,1090180,121328205,2019,179.0,165,not required
1013307502,1090233,121328321,2016,266.0,266,not required
1007947504,1090188,121328759,2016,30.0,30,not required
1005300029,1008482,121329026,2015,5.0,5,not required
1009197501,1090104,121329151,2017,57.0,57,not required
1013757504,1090526,121329213,2018,43.0,43,not required
1008040034,1088896,121329222,2017,24.0,150,not required
1003730043,1090130,121329311,2016,30.0,30,not required
1007007501,1090204,121329561,2018,31.0,31,not required
1004907502,1089762,121329589,2016,22.0,22,not required
1004890009,1007348,121329687,2016,11.0,11,not required
1003450017,1089961,121330005,2016,78.0,78,not required
1007790007,1014279,121330130,2017,1.0,37,not required
1015087502,1090560,121330504,2016,7.0,7,not required
1006017503,1090584,121330611,2018,57.0,57,not required
1009670001,1089237,121331059,2016,761.0,761,not required
1008067502,1088841,121331102,2016,375.0,375,not required
1010907502,1089438,121331120,2015,1175.0,1175,not required
1008627504,1017014,121331291,2015,319.0,319,not required
1015100040,1047572,121331424,2020,5.0,5,not required
1004227503,1090468,121332049,2017,11.0,11,not required
1014170021,1090551,121332138,2019,7.0,7,not required
1003500069,1090484,121332174,2017,37.0,37,not required
1005947511,1090602,121332806,2017,201.0,201,not required
1006997503,1089968,121332815,2017,40.0,40,not required
1010720050,1090461,121332897,2016,280.0,280,not required
1008517506,1089831,121332986,2017,83.0,83,not required
1011717511,1088869,121333342,2017,361.0,361,not required
1000780047,1090115,121333440,2018,483.0,483,not required
1015777504,1090384,121333495,2016,41.0,40,not required
1003537504,1090469,121413595,2017,38.0,38,not required
1015017502,1090105,121441653,2015,9.0,9,not required
1013737506,1088861,121446195,2015,266.0,266,not required
1004127503,1090375,121473208,2018,89.0,88,not required
1006117501,1090144,121543124,2017,5.0,5,not required
1007330008,1090717,121659400,2018,118.0,118,not required
1004027503,1090420,121663119,2016,32.0,32,not required
1005187505,1090640,121729807,2018,4.0,4,not required
1008770044,1017998,121809123,2018,7.0,7,not required
1010640044,1026799,121813234,2016,17.0,17,not required
1006130053,1010937,121814180,2020,3.0,3,not required
1004397501,1090470,121823688,2017,82.0,75,not required
1007330023,1089379,121832428,2018,186.0,186,not required
1008637502,1089701,121900158,2017,72.0,72,not required
1009257501,1090159,121930250,2016,7.0,7,not required
1014220018,1090731,121931099,2017,5.0,5,not required
1009007501,1090877,121958480,2018,37.0,37,not required
1003447501,1090182,121965757,2017,37.0,37,not required
1001357510,1090540,122131371,2020,23.0,23,not required
1001427503,1089698,122132110,2018,157.0,157,not required
1012137507,1090580,122134029,2019,6.0,6,not required
1004100034,1090742,122141351,2020,29.0,29,not required
1015440001,1049869,122143377,2020,32.0,32,not required
1014350015,1089869,122143439,2017,21.0,21,not required
1002230013,1090674,122182333,2019,49.0,49,not required
1003777505,1004520,122239470,2019,8.0,8,not required
1008890019,1018493,122345293,2019,37.0,37,not required
1018400010,1090874,122407617,2019,34.0,34,not required
1014120050,1090667,122418204,2020,1.0,1,not required
1004437505,1090700,122445602,2019,30.0,28,not required
1010720001,1090460,122459375,2018,164.0,164,not required
1003480064,1090483,122483455,2019,44.0,44,not required
1012427501,1090708,122484524,2020,36.0,36,not required
1004700053,1090453,122521556,2018,27.0,75,not required
1015437502,1090856,122575481,2018,6.0,6,not required
1015157505,1090530,122668648,2019,61.0,61,not required
1007167506,1089965,122736762,2018,160.0,160,not required
1007790031,1090716,122753635,2019,55.0,55,not required
1014860004,1046294,122760654,2020,10.0,10,not required
1010630051,1026772,122822605,2020,60.0,60,not required
1007977509,1090406,122832881,2018,9.0,9,not required
1003720052,1090230,122866149,2020,7.0,5,not required
1018710035,1056462,123305878,2020,42.0,42,not required
2042580045,2047899,200665244,2012,2.0,2,required - low density
2034870121,2113298,200740742,2018,2.0,2,required - low density
2034870122,2123347,200740751,2012,2.0,2,required - low density
2034870123,2113300,200740760,2012,2.0,2,required - low density
2034870124,2113301,200740779,2012,2.0,2,required - low density
2034870125,2113302,200740788,2012,2.0,2,required - low density
2034870126,2113297,200740797,2012,2.0,2,required - low density
2034870127,2113303,200740804,2012,2.0,2,required - low density
2034870136,2113294,200740895,2012,2.0,2,required - low density
2034870137,2113293,200740902,2012,2.0,2,required - low density
2034870138,2113292,200740911,2012,2.0,2,required - low density
2034870139,2113291,200740920,2012,2.0,2,required - low density
2034870140,2113290,200740939,2012,2.0,2,required - low density
2034870142,2113288,200740957,2019,2.0,2,required - low density
2055020061,2078674,200753381,2013,3.0,3,required - low density
2046850041,2058833,200777855,2019,2.0,2,required - low density
2059420192,2127836,200780360,2015,1.0,1,required - low density
2058861409,2085662,200781993,2014,2.0,2,required - low density
2058242409,2116536,200783811,2012,1.0,1,required - low density
2055017501,2116492,200804905,2011,3.0,3,required - low density
2055017501,2116490,200804914,2011,3.0,3,required - low density
2055017501,2116491,200804923,2011,3.0,3,required - low density
2058310020,2123017,200805539,2011,1.0,1,required - low density
2058310010,2123014,200805655,2011,1.0,1,required - low density
2059490296,2123834,200809483,2011,1.0,1,required - low density
2050470012,2114019,200811407,2018,3.0,3,required - low density
2038320070,2027172,200812674,2012,2.0,2,required - low density
2053900007,2074547,200813129,2015,2.0,2,required - low density
2058532222,2123050,200828248,2010,1.0,1,required - low density
2054090314,2075371,200839245,2012,1.0,1,required - low density
2058532198,2127827,200842348,2014,2.0,2,required - low density
2055290487,2126096,200852032,2015,2.0,2,required - low density
2055290488,2126095,200852050,2015,2.0,2,required - low density
2055440131,2080050,200852862,2012,2.0,2,required - low density
2056530109,2082997,200854414,2010,2.0,2,required - low density
2041930045,2119857,200855949,2013,3.0,3,required - low density
2051030050,2123495,200857153,2013,2.0,2,required - low density
2046830063,2121314,200857714,2010,2.0,2,required - low density
2048520062,2063996,200859990,2019,3.0,3,required - low density
2034360100,2127402,200862003,2016,2.0,2,required - low density
2034360170,2127406,200862012,2016,2.0,2,required - low density
2034360169,2127405,200862021,2016,2.0,2,required - low density
2034360168,2127404,200862030,2016,2.0,2,required - low density
2034360167,2127403,200862049,2017,2.0,2,required - low density
2034360101,2127401,200862058,2016,2.0,2,required - low density
2034360102,2127400,200862067,2016,2.0,2,required - low density
2034360103,2127399,200862076,2016,2.0,2,required - low density
2034360104,2127398,200862085,2016,2.0,2,required - low density
2034360105,2127397,200862094,2016,2.0,2,required - low density
2034360106,2127785,200862101,2017,2.0,2,required - low density
2034360107,2127786,200862110,2017,2.0,2,required - low density
2034360108,2127396,200862129,2016,2.0,2,required - low density
2034360109,2127395,200862138,2016,2.0,2,required - low density
2034360110,2127394,200862147,2016,2.0,2,required - low density
2034360111,2127393,200862165,2016,2.0,2,required - low density
2034360113,2128750,200862174,2017,2.0,2,required - low density
